material_category,asset_layer,priority,count
典型页面,page_recipe,P0,9
典型页面,page_recipe,P1,8
反馈,feedback_rule_asset,P1,3
反馈,overlay_asset,P0,4
反馈,state_asset,P1,4
复杂场景,business_module,P0,8
复杂场景,business_module,P1,3
复杂场景/公式编辑器,business_module,P0,2
复杂场景/公式编辑器,business_module,P1,2
导航,navigation_region,P1,7
导航,shell_navigation_rule,P1,3
按钮规则,component_combo_rule,P0,4
按钮规则,interaction_rule,P0,6
数据展示,display_component_combo,P2,8
数据展示,display_module,P0,3
数据展示,display_module,P1,3
数据展示,state_asset,P1,1
数据录入,component_combo,P1,12
数据录入,form_region,P0,1
